transaction_id,customer_id,transaction_date,transaction_type,amount,mode,merchant_category,city,is_international,account_balance
1,100063,2025-11-21,debit,4067.43,cash,rent,Delhi,0,481662.15
2,100056,2025-04-27,debit,23902.56,card,salary,Bangalore,0,301080.81
3,100031,2025-04-12,debit,8758.94,imps,salary,Bangalore,0,84557.67
4,100009,2025-01-29,debit,18548.23,atm,food,Pune,1,498628.69
5,100041,2026-04-22,credit,3453.15,upi,travel,Chennai,1,194176.68
6,100063,2026-03-01,debit,35018.55,card,salary,Hyderabad,0,66423.0
7,100044,2025-07-04,credit,1149.91,card,transfer,Hyderabad,0,438089.32
8,100093,2025-01-12,debit,7261.38,imps,rent,Mumbai,1,383908.82
9,100090,2025-06-30,debit,13798.4,salary,transfer,Bangalore,0,432884.94
10,100075,2026-03-28,credit,21848.98,neft,rent,Bangalore,0,267065.13
11,100067,2025-12-19,debit,4315.45,atm,shopping,Pune,0,469689.63
12,100085,2026-03-18,debit,2860.48,atm,rent,Chennai,0,127896.38
13,100004,2025-04-16,debit,44534.59,upi,salary,Pune,0,164187.29
14,100033,2025-06-14,credit,558.33,imps,rent,Pune,0,473654.16
15,100090,2025-12-05,debit,25576.72,upi,transfer,Hyderabad,0,475883.25
16,100060,2026-05-28,credit,4549.57,imps,bill_payment,Bangalore,0,258378.74
17,100059,2026-03-05,debit,44548.68,neft,salary,Delhi,0,214635.43
18,100065,2025-02-26,debit,8399.92,neft,shopping,Mumbai,0,497594.06
19,100086,2025-09-21,debit,1409.38,salary,transfer,Hyderabad,0,280108.79
20,100001,2025-09-01,credit,343.4,imps,rent,Chennai,1,343438.96
21,100064,2026-01-31,credit,31314.73,atm,transfer,Mumbai,0,333832.89
22,100075,2025-06-03,credit,3210.89,atm,travel,Chennai,1,448355.35
23,100002,2026-04-26,credit,49862.52,neft,rent,Delhi,1,401698.93
24,100099,2025-12-26,credit,84870.61,neft,travel,Pune,0,7029.72
25,100061,2025-02-19,debit,47481.67,neft,shopping,Mumbai,0,66281.48
26,100043,2025-12-01,credit,2226.85,card,investment,Pune,0,14063.98
27,100045,2025-05-10,credit,2342.13,upi,food,Pune,0,476696.99
28,100070,2025-08-04,credit,698.31,upi,travel,Mumbai,0,315407.31
29,100034,2025-01-10,debit,2699.09,imps,bill_payment,Delhi,0,280067.07
30,100065,2025-02-10,debit,99477.32,cash,bill_payment,Bangalore,1,167046.99
31,100095,2026-04-20,debit,55903.14,cash,travel,Hyderabad,0,337644.75
32,100039,2026-02-11,credit,1816.09,imps,travel,Pune,0,106805.82
33,100056,2025-04-26,credit,215.26,imps,travel,Mumbai,1,58198.96
34,100082,2025-01-31,debit,128.81,cash,food,Hyderabad,1,221708.48
