customer_id,source_name,matched_name,similarity_score
CUST_1001,Customer 1,Cust 1,0.76
CUST_1002,Customer 2,Cust 2,0.85
CUST_1003,Customer 3,Customer 3,0.93
CUST_1004,Customer 4,Cust 4,0.78
CUST_1005,Customer 5,Customer 5,0.94
CUST_1006,Customer 6,Cust 6,0.75
CUST_1007,Customer 7,Cust 7,0.89
CUST_1008,Customer 8,Customer 8,0.98
CUST_1009,Customer 9,Cust 9,0.85
CUST_1010,Customer 10,Customer 10,0.98
CUST_1011,Customer 11,Customer 11,0.97
CUST_1012,Customer 12,Cust 12,0.87
CUST_1013,Customer 13,Cust 13,0.8
CUST_1014,Customer 14,Customer 14,0.99
CUST_1015,Customer 15,Cust 15,0.83
CUST_1016,Customer 16,Customer 16,0.91
CUST_1017,Customer 17,Customer 17,0.98
CUST_1018,Customer 18,Cust 18,0.77
CUST_1019,Customer 19,Cust 19,0.89
CUST_1020,Customer 20,Cust 20,0.88
CUST_1021,Customer 21,Customer 21,0.93
CUST_1022,Customer 22,Customer 22,0.98
CUST_1023,Customer 23,Customer 23,0.98
CUST_1024,Customer 24,Cust 24,0.79
CUST_1025,Customer 25,Customer 25,0.97
CUST_1026,Customer 26,Cust 26,0.79
CUST_1027,Customer 27,Customer 27,0.98
CUST_1028,Customer 28,Customer 28,1.0
CUST_1029,Customer 29,Cust 29,0.85
CUST_1030,Customer 30,Cust 30,0.87
CUST_1031,Customer 31,Customer 31,0.98
CUST_1032,Customer 32,Customer 32,0.99
CUST_1033,Customer 33,Customer 33,0.98
CUST_1034,Customer 34,Customer 34,0.97
CUST_1035,Customer 35,Cust 35,0.75
CUST_1036,Customer 36,Cust 36,0.89
CUST_1037,Customer 37,Cust 37,0.78
CUST_1038,Customer 38,Customer 38,1.0
CUST_1039,Customer 39,Cust 39,0.82
CUST_1040,Customer 40,Customer 40,1.0
CUST_1041,Customer 41,Cust 41,0.89
CUST_1042,Customer 42,Cust 42,0.87
CUST_1043,Customer 43,Customer 43,0.98
CUST_1044,Customer 44,Customer 44,0.96
CUST_1045,Customer 45,Cust 45,0.87
CUST_1046,Customer 46,Cust 46,0.8
CUST_1047,Customer 47,Cust 47,0.78
CUST_1048,Customer 48,Cust 48,0.79
CUST_1049,Customer 49,Cust 49,0.86
CUST_1050,Customer 50,Cust 50,0.81
CUST_1051,Customer 51,Cust 51,0.8
CUST_1052,Customer 52,Customer 52,0.93
CUST_1053,Customer 53,Customer 53,0.95
CUST_1054,Customer 54,Cust 54,0.89
CUST_1055,Customer 55,Customer 55,0.94
CUST_1056,Customer 56,Cust 56,0.79
CUST_1057,Customer 57,Customer 57,0.96
CUST_1058,Customer 58,Customer 58,0.97
CUST_1059,Customer 59,Customer 59,0.96
CUST_1060,Customer 60,Cust 60,0.88
CUST_1061,Customer 61,Cust 61,0.77
CUST_1062,Customer 62,Customer 62,0.92
CUST_1063,Customer 63,Cust 63,0.8
CUST_1064,Customer 64,Cust 64,0.79
CUST_1065,Customer 65,Cust 65,0.83
CUST_1066,Customer 66,Cust 66,0.81
CUST_1067,Customer 67,Cust 67,0.82
CUST_1068,Customer 68,Cust 68,0.81
CUST_1069,Customer 69,Customer 69,0.94
CUST_1070,Customer 70,Customer 70,0.99
CUST_1071,Customer 71,Cust 71,0.83
CUST_1072,Customer 72,Customer 72,0.93
CUST_1073,Customer 73,Cust 73,0.75
CUST_1074,Customer 74,Customer 74,0.91
CUST_1075,Customer 75,Customer 75,0.92
CUST_1076,Customer 76,Cust 76,0.77
CUST_1077,Customer 77,Cust 77,0.78
CUST_1078,Customer 78,Cust 78,0.83
CUST_1079,Customer 79,Cust 79,0.85
CUST_1080,Customer 80,Cust 80,0.88
CUST_1081,Customer 81,Customer 81,0.97
CUST_1082,Customer 82,Customer 82,0.93
CUST_1083,Customer 83,Cust 83,0.83
CUST_1084,Customer 84,Cust 84,0.78
CUST_1085,Customer 85,Customer 85,0.98
CUST_1086,Customer 86,Cust 86,0.82
CUST_1087,Customer 87,Cust 87,0.9
CUST_1088,Customer 88,Cust 88,0.8
CUST_1089,Customer 89,Cust 89,0.78
CUST_1090,Customer 90,Cust 90,0.79
CUST_1091,Customer 91,Customer 91,0.94
CUST_1092,Customer 92,Cust 92,0.9
CUST_1093,Customer 93,Cust 93,0.85
CUST_1094,Customer 94,Cust 94,0.89
CUST_1095,Customer 95,Cust 95,0.87
CUST_1096,Customer 96,Cust 96,0.88
CUST_1097,Customer 97,Customer 97,0.92
CUST_1098,Customer 98,Cust 98,0.8
CUST_1099,Customer 99,Cust 99,0.81
CUST_1100,Customer 100,Customer 100,0.94
