customer_id,risk_score,risk_label
CUST_1001,0.44,MEDIUM
CUST_1002,0.09,LOW
CUST_1003,0.25,LOW
CUST_1004,0.37,LOW
CUST_1005,0.09,LOW
CUST_1006,0.3,LOW
CUST_1007,0.08,LOW
CUST_1008,0.3,LOW
CUST_1009,0.28,LOW
CUST_1010,0.31,LOW
CUST_1011,0.12,LOW
CUST_1012,0.2,LOW
CUST_1013,0.28,LOW
CUST_1014,0.1,LOW
CUST_1015,0.14,LOW
CUST_1016,0.31,LOW
CUST_1017,0.09,LOW
CUST_1018,0.28,LOW
CUST_1019,0.41,MEDIUM
CUST_1020,0.25,LOW
CUST_1021,0.28,LOW
CUST_1022,0.26,LOW
CUST_1023,0.08,LOW
CUST_1024,0.26,LOW
CUST_1025,0.71,HIGH
CUST_1026,0.38,LOW
CUST_1027,0.23,LOW
CUST_1028,0.42,MEDIUM
CUST_1029,0.39,LOW
CUST_1030,0.31,LOW
CUST_1031,0.07,LOW
CUST_1032,0.21,LOW
CUST_1033,0.08,LOW
CUST_1034,0.5,MEDIUM
CUST_1035,0.47,MEDIUM
CUST_1036,0.08,LOW
CUST_1037,0.47,MEDIUM
CUST_1038,0.06,LOW
CUST_1039,0.23,LOW
CUST_1040,0.8,HIGH
CUST_1041,0.39,LOW
CUST_1042,0.49,MEDIUM
CUST_1043,0.34,LOW
CUST_1044,0.24,LOW
CUST_1045,0.5,MEDIUM
CUST_1046,0.22,LOW
CUST_1047,0.44,MEDIUM
CUST_1048,0.46,MEDIUM
CUST_1049,0.22,LOW
CUST_1050,0.66,MEDIUM
CUST_1051,0.35,LOW
CUST_1052,0.29,LOW
CUST_1053,0.34,LOW
CUST_1054,0.21,LOW
CUST_1055,0.13,LOW
CUST_1056,0.29,LOW
CUST_1057,0.29,LOW
CUST_1058,0.38,LOW
CUST_1059,0.15,LOW
CUST_1060,0.05,LOW
CUST_1061,0.06,LOW
CUST_1062,0.18,LOW
CUST_1063,0.35,LOW
CUST_1064,0.3,LOW
CUST_1065,0.29,LOW
CUST_1066,0.42,MEDIUM
CUST_1067,0.16,LOW
CUST_1068,0.21,LOW
CUST_1069,0.17,LOW
CUST_1070,0.47,MEDIUM
CUST_1071,0.38,LOW
CUST_1072,0.1,LOW
CUST_1073,0.41,MEDIUM
CUST_1074,0.24,LOW
CUST_1075,0.69,MEDIUM
CUST_1076,0.45,MEDIUM
CUST_1077,0.06,LOW
CUST_1078,0.14,LOW
CUST_1079,0.1,LOW
CUST_1080,0.47,MEDIUM
CUST_1081,0.32,LOW
CUST_1082,0.37,LOW
CUST_1083,0.07,LOW
CUST_1084,0.38,LOW
CUST_1085,0.23,LOW
CUST_1086,0.16,LOW
CUST_1087,0.15,LOW
CUST_1088,0.44,MEDIUM
CUST_1089,0.08,LOW
CUST_1090,0.28,LOW
CUST_1091,0.18,LOW
CUST_1092,0.42,MEDIUM
CUST_1093,0.38,LOW
CUST_1094,0.19,LOW
CUST_1095,0.32,LOW
CUST_1096,0.35,LOW
CUST_1097,0.19,LOW
CUST_1098,0.19,LOW
CUST_1099,0.11,LOW
CUST_1100,0.65,MEDIUM
