transaction_id,customer_id,transaction_date,transaction_type,amount
TXN_CUST_1001_1,CUST_1001,2025-07-16,NEFT,35467.75
TXN_CUST_1001_2,CUST_1001,2025-02-02,CASH,20676.17
TXN_CUST_1001_3,CUST_1001,2025-10-05,CASH,21080.82
TXN_CUST_1001_4,CUST_1001,2025-04-16,CASH,19779.1
TXN_CUST_1001_5,CUST_1001,2025-10-27,UPI,42908.24
TXN_CUST_1002_1,CUST_1002,2025-10-22,CASH,24110.5
TXN_CUST_1002_2,CUST_1002,2025-06-30,IMPS,37797.02
TXN_CUST_1002_3,CUST_1002,2025-08-03,NEFT,24667.36
TXN_CUST_1002_4,CUST_1002,2025-05-20,CASH,24539.28
TXN_CUST_1002_5,CUST_1002,2025-07-19,IMPS,33609.24
TXN_CUST_1003_1,CUST_1003,2025-07-27,NEFT,42105.03
TXN_CUST_1003_2,CUST_1003,2025-03-07,UPI,45392.98
TXN_CUST_1003_3,CUST_1003,2025-10-31,UPI,4655.4
TXN_CUST_1003_4,CUST_1003,2025-08-08,NEFT,43409.14
TXN_CUST_1003_5,CUST_1003,2025-04-04,UPI,13377.74
TXN_CUST_1004_1,CUST_1004,2025-06-17,NEFT,23007.62
TXN_CUST_1004_2,CUST_1004,2025-06-22,CASH,14273.7
TXN_CUST_1004_3,CUST_1004,2025-08-04,IMPS,41828.09
TXN_CUST_1004_4,CUST_1004,2025-08-29,UPI,37576.7
TXN_CUST_1004_5,CUST_1004,2025-01-27,IMPS,11599.0
TXN_CUST_1005_1,CUST_1005,2025-02-05,UPI,37834.54
TXN_CUST_1005_2,CUST_1005,2025-05-07,NEFT,42041.83
TXN_CUST_1005_3,CUST_1005,2025-11-15,NEFT,12307.97
TXN_CUST_1005_4,CUST_1005,2025-08-31,UPI,28416.49
TXN_CUST_1005_5,CUST_1005,2025-04-22,CASH,35123.52
TXN_CUST_1006_1,CUST_1006,2025-07-08,NEFT,30491.69
TXN_CUST_1006_2,CUST_1006,2025-02-28,NEFT,48253.68
TXN_CUST_1006_3,CUST_1006,2025-02-25,UPI,46479.91
